"child_id","child_age","school_id","school_type","household_income","social_skills","cognitive_ability","academic_achievement"
1,4.08,1,"Montessori","$35,001-$70,000",2,0,99
2,3.9,1,"Montessori","105,001 or more",2,0,120
3,4.93,1,"Montessori","105,001 or more",4,2,110
4,3.2,1,"Montessori","$75,001-105,000",5,0,118
5,4.64,1,"Montessori","$35,001-$70,000",3,1,102
6,4.69,1,"Montessori","105,001 or more",2,2,56
7,5.84,1,"Montessori","$75,001-105,000",3,3,110
8,4.3,1,"Montessori","$75,001-105,000",5,0,117
9,4.91,1,"Montessori","$35,000 or less",2,0,121
10,3.6,1,"Montessori","$35,001-$70,000",4,2,119
11,5.19,1,"Montessori","$35,001-$70,000",3,1,85
12,6.09,1,"Montessori","$75,001-105,000",3,2,115
13,3.98,1,"Montessori","$35,001-$70,000",5,0,77
14,4.39,1,"Montessori","$35,001-$70,000",4,3,73
15,5.67,1,"Montessori","$35,001-$70,000",4,2,105
16,5.34,1,"Montessori","$75,001-105,000",5,2,113
17,3.72,1,"Montessori","105,001 or more",4,3,99
18,4.25,1,"Montessori","$75,001-105,000",4,1,86
19,4.26,1,"Montessori","$35,001-$70,000",5,2,102
20,5.42,1,"Montessori","$35,000 or less",5,1,96
21,4.88,2,"Montessori","$75,001-105,000",2,1,122
22,5.49,2,"Montessori","$35,001-$70,000",5,1,110
23,4.88,2,"Montessori","$75,001-105,000",3,1,89
24,5.62,2,"Montessori","105,001 or more",4,1,92
25,4.47,2,"Montessori","$35,001-$70,000",4,1,123
26,3.6,2,"Montessori","$75,001-105,000",3,1,99
27,5.7,2,"Montessori","$35,000 or less",4,3,106
28,6.09,2,"Montessori","$35,000 or less",4,0,134
29,4.92,2,"Montessori","$35,001-$70,000",2,1,126
30,3.97,2,"Montessori","$35,001-$70,000",3,2,118
31,4.71,2,"Montessori","$75,001-105,000",1,1,139
32,6.25,2,"Montessori","$35,001-$70,000",1,2,126
33,4.22,2,"Montessori","105,001 or more",3,2,88
34,6.34,2,"Montessori","$75,001-105,000",3,2,97
35,5.43,2,"Montessori","$35,001-$70,000",1,0,101
