"child_id","child_age","years_Montessori","parent1_ed","parent2_ed","pre_day_night","post_day_night","pre_card_sort","post_card_sort","pre_design_copy","post_design_copy"
1,5,2,"AA or equivalent","Bachelors or equivalent",1,9,3,2,13,13
2,4.73,1,"Masters or equivalent","Bachelors or equivalent",2,8,3,2,14,14
3,5.74,1,"AA or equivalent","High School or GED",4,4,1,1,8,11
4,4.89,2,"Masters or equivalent","Masters or equivalent",7,9,1,2,11,16
5,3.31,0,"Masters or equivalent","Bachelors or equivalent",7,9,1,2,11,8
6,4.47,1,"PhD or equivalent","Bachelors or equivalent",8,8,1,1,9,8
7,6.42,3,"Masters or equivalent","AA or equivalent",1,1,3,3,9,16
8,4.16,1,"Bachelors or equivalent","Bachelors or equivalent",8,8,1,1,9,3
9,6.12,3,"Bachelors or equivalent","Bachelors or equivalent",9,9,2,2,9,12
10,4.46,1,"Masters or equivalent","Masters or equivalent",9,8,1,1,10,10
11,6.1,3,"High School or GED","AA or equivalent",1,8,3,2,14,13
12,5.33,2,"Bachelors or equivalent","Bachelors or equivalent",10,10,2,2,16,11
13,5.85,1,"Masters or equivalent","Bachelors or equivalent",10,9,2,3,10,10
14,4.53,2,"Bachelors or equivalent","Bachelors or equivalent",3,8,2,2,12,14
15,5.1,0,"AA or equivalent","AA or equivalent",2,6,3,3,13,12
16,6.18,3,"Masters or equivalent","Bachelors or equivalent",9,9,2,2,14,16
17,5.48,2,"AA or equivalent","PhD or equivalent",2,3,1,3,14,13
18,4.27,1,"Bachelors or equivalent","PhD or equivalent",3,9,2,1,12,8
19,6.4,3,"Masters or equivalent","Bachelors or equivalent",10,10,2,1,14,9
20,5.96,1,"AA or equivalent","AA or equivalent",7,7,2,1,14,14
21,6.24,3,"AA or equivalent","Bachelors or equivalent",2,7,1,3,15,14
22,5.15,2,"PhD or equivalent","Bachelors or equivalent",7,8,2,1,15,12
23,4.91,0,"AA or equivalent","Bachelors or equivalent",3,9,2,2,9,11
24,5.17,2,"Bachelors or equivalent","Masters or equivalent",8,9,2,2,12,12
25,3.93,1,"PhD or equivalent","Masters or equivalent",10,9,3,2,11,1
26,4.26,1,"Masters or equivalent","AA or equivalent",7,9,2,1,6,10
27,3.36,0,"Bachelors or equivalent","Masters or equivalent",4,8,1,2,4,3
28,4.4,1,"Bachelors or equivalent","Bachelors or equivalent",1,1,1,2,10,3
29,4.43,1,"AA or equivalent","Masters or equivalent",10,8,2,2,12,12
30,4.56,1,"PhD or equivalent","Bachelors or equivalent",9,8,2,3,14,14
